priors_count;days_b_screening_arrest;decile_score;is_recid;two_year_recid;c_charge_degree_F;c_charge_degree_M;race_African-American;race_Asian;race_Caucasian;race_Hispanic;race_Native American;race_Other;age_cat_25 - 45;age_cat_Greater than 45;age_cat_Less than 25;score_text_High;score_text_Low;score_text_Medium;sex_Female;sex_Male
0;-1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
0;-1;3;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
4;-1;4;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1
14;-1;6;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
3;-1;4;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1
0;-1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0
0;-1;4;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
3;0;6;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1
0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0
0;-1;4;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
1;-20;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0
7;22;3;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
3;-1;10;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
6;-1;5;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
5;-1;3;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1
13;-1;6;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
1;-1;9;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
0;0;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1
0;-2;4;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0
