Prate;Exper;Sal94;Sal95;Dept_1;Dept_2;Dept_3;Dept_4;Dept_5;Dept_6;Gender_0;Gender_1;Clin_0;Clin_1;Cert_0;Cert_1;Rank_1;Rank_2;Rank_3
7.4;9;77836;84612;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
6.7;10;69994;78497;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
8.1;6;62872;67756;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0
5.1;27;155196;173220;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1
7.0;10;89268;96099;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.7;10;79714;87531;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.3;9;89781;99972;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0
5.3;11;151423;166601;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1
7.7;18;81271;85437;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.5;9;83018;91369;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
6.8;12;80214;88676;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
7.3;8;110302;116654;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0
5.4;18;137106;149222;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1
7.5;15;77545;85041;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
6.8;10;90223;97640;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
8.1;9;81197;91800;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.3;16;90178;101828;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.7;9;105564;117743;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.1;37;115804;126989;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
7.2;14;113149;124432;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.6;27;157510;168673;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
7.1;14;97104;104090;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1
7.3;17;131815;145843;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
6.9;23;134135;151837;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
7.4;8;92198;98155;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
6.9;19;99304;110321;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
8.0;15;82132;90058;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0
