Attribute,Order
MaritalStatus_Married,2
MaritalStatus_Divorced,2
MaritalStatus_Single,2
Sex_Male,1
Sex_Female,1
Age_Middle,1
Age_Old,1
positive_left,3
negative_left,3
BusinessTravel_Rarely,2
BusinessTravel_Frequently,2
BusinessTravel_Non,2
Department_Sales,2
Department_RD,2
Department_HR,2
Education_BelowCollege,2
Education_College,2
Education_Bachelor,2
Education_Master,2
Education_Doctor,2
JobInvolvement_Low,2
JobInvolvement_Medium,2
JobInvolvement_High,2
JobInvolvement_VeryHigh,2
JobSatisfaction_Low,2
JobSatisfaction_Medium,2
JobSatisfaction_High,2
JobSatisfaction_VeryHigh,2
MonthlyIncome_Low,2
MonthlyIncome_Medium,2
MonthlyIncome_High,2
OverTime_No,2
OverTime_Yes,2
TotalWorkingYears_Low,2
TotalWorkingYears_Medium,2
TotalWorkingYears_High,2
WorkLifeBalance_Low,2
WorkLifeBalance_Medium,2
WorkLifeBalance_High,2
WorkLifeBalance_VeryHigh,2
YearsAtCompany_Low,2
YearsAtCompany_Medium,2
YearsAtCompany_High,2
YearsInCurrentRole_Low,2
YearsInCurrentRole_High,2
YearsSinceLastPromotion_Low,2
YearsSinceLastPromotion_High,2
