Attribute;Order
MaritalStatus_Married;2
MaritalStatus_Divorced;2
MaritalStatus_Single;2
Sex_Male;1
Sex_Female;1
Age_Middle;1
Age_Old;1
positive_left;3
negative_left;3
BusinessTravel_Rarely;3
BusinessTravel_Frequently;3
BusinessTravel_Non;3
Department_Sales;1
Department_RD;1
Department_HR;1
Education_BelowCollege;1
Education_College;1
Education_Bachelor;1
Education_Master;1
Education_Doctor;1
JobInvolvement_Low;3
JobInvolvement_Medium;3
JobInvolvement_High;3
JobInvolvement_VeryHigh;3
JobSatisfaction_Low;3
JobSatisfaction_Medium;3
JobSatisfaction_High;3
JobSatisfaction_VeryHigh;3
MonthlyIncome_Low;1
MonthlyIncome_Medium;1
MonthlyIncome_High;1
OverTime_No;1
OverTime_Yes;1
TotalWorkingYears_Low;3
TotalWorkingYears_Medium;3
TotalWorkingYears_High;3
WorkLifeBalance_Low;3
WorkLifeBalance_Medium;3
WorkLifeBalance_High;3
WorkLifeBalance_VeryHigh;3
YearsAtCompany_Low;2
YearsAtCompany_Medium;2
YearsAtCompany_High;2
YearsInCurrentRole_Low;2
YearsInCurrentRole_High;2
YearsSinceLastPromotion_Low;3
YearsSinceLastPromotion_High;3
