Source;Target;edgeprob
Gender_Female;Admit_Rejected;0.22340874169479402
Gender_Female;Dept_C;0.07385757396474887
Gender_Female;Dept_E;0.050630663607768675
Gender_Female;Dept_F;0.13231720034221062
Gender_Male;Admit_Admitted;0.22340874169479408
Gender_Male;Dept_A;0.19691363437089002
Gender_Male;Dept_B;0.030874552551044328
Dept_A;Admit_Rejected;0.025951928160824367
Dept_B;Admit_Rejected;0.07326316001937672
Dept_D;Admit_Admitted;0.07139158291410164
Dept_E;Admit_Admitted;0.12581490940127982
Dept_F;Admit_Rejected;0.021088086091822944
