Dept,Gender,Clin,Cert,Prate,Exper,Rank,Sal94,Sal95
1,1,0,0,7.4,9,3,77836,84612
1,1,0,0,6.7,10,2,69994,78497
1,1,0,0,8.1,6,1,62872,67756
1,1,1,1,5.1,27,3,155196,173220
1,1,0,0,7,10,3,89268,96099
1,1,0,1,7.7,10,3,79714,87531
1,1,0,1,8.3,9,2,89781,99972
1,1,1,1,5.3,11,3,151423,166601
1,1,0,0,7.7,18,3,81271,85437
1,1,0,0,7.5,9,2,83018,91369
1,1,0,0,6.8,12,2,80214,88676
1,1,0,1,7.3,8,2,110302,116654
1,1,1,1,5.4,18,3,137106,149222
1,1,0,0,7.5,15,2,77545,85041
1,1,0,0,6.8,10,2,90223,97640
1,1,0,0,8.1,9,3,81197,91800
1,1,0,0,7.3,16,3,90178,101828
1,1,0,1,7.7,9,3,105564,117743
1,1,0,0,8.1,37,2,115804,126989
1,1,0,1,7.2,14,3,113149,124432
1,1,0,1,8.6,27,3,157510,168673
1,1,0,0,7.1,14,3,97104,104090
1,1,0,1,7.3,17,3,131815,145843
1,1,0,1,6.9,23,3,134135,151837
1,1,0,1,7.4,8,3,92198,98155
1,1,0,1,6.9,19,3,99304,110321
1,1,0,0,8,15,2,82132,90058
1,1,0,1,7,16,3,108770,119697
1,1,0,1,6.9,15,3,109775,120208
1,1,0,0,7.7,7,1,66375,71139
1,0,0,0,7.2,2,1,57838,62907
1,0,0,1,8.7,12,2,90631,99079
1,0,0,1,7.9,7,1,60930,66190
1,0,0,0,8.1,14,2,87231,95385
1,0,0,0,7.4,8,2,68582,76987
1,0,0,0,7.3,7,1,63280,68420
1,0,0,0,7.9,16,3,106412,116959
1,0,0,1,7.2,3,1,65337,70166
1,0,1,1,6.4,16,3,143334,153524
1,0,0,0,8,12,3,90771,102927
1,0,0,0,8.1,8,2,81769,88896
1,0,0,1,7.5,11,1,94103,102983
1,0,0,1,7.6,10,1,102631,111125
1,0,1,1,6,15,1,109164,120696
1,0,0,0,7.1,9,1,63779,73033
1,0,0,0,8,6,1,75362,81615
1,0,1,1,4.6,13,2,124836,137791
1,0,0,0,7.7,13,1,77012,84536
1,0,0,1,7.3,6,1,67277,72721
1,0,0,1,8.1,9,1,73448,80294
2,1,1,1,5.1,10,1,97707,101617
2,1,1,1,5.1,9,3,106130,118258
2,1,0,1,6.8,8,3,81049,88505
2,1,1,1,5.5,25,3,140315,150710
2,1,0,1,7.1,11,3,84571,92879
2,1,0,1,6.6,9,2,58126,64522
2,1,1,1,6.1,27,3,133284,151373
2,1,0,1,7.5,32,2,142333,154372
2,1,0,0,8.3,23,3,71073,78715
2,1,0,0,7.5,14,2,76255,82466
2,1,0,1,7.8,11,3,105348,118635
2,1,0,0,7.5,9,3,86844,97061
2,1,0,0,7,5,2,52582,58923
2,1,0,1,7.5,12,3,110836,120397
2,1,1,1,5.7,18,3,144150,151887
2,1,1,1,6,19,3,122240,134882
2,1,0,0,7.1,10,3,68573,75286
2,1,0,0,7.9,8,2,63936,69526
2,1,1,1,5.9,4,1,71404,78589
2,1,0,1,7.6,14,3,102076,112009
2,0,1,1,5.3,10,2,94715,106608
2,0,0,1,8.1,4,1,58634,62601
2,0,0,1,7.9,14,3,119851,131050
2,0,1,0,5.5,9,3,78650,88661
2,0,0,0,6.9,8,2,57862,63728
2,0,1,0,4.9,3,1,67113,74272
2,0,1,0,5.3,12,3,81078,86221
2,0,0,1,8.5,7,1,60403,68828
2,0,0,1,7.6,12,2,90964,97303
2,0,0,1,8.4,4,1,52945,57841
2,0,0,0,7.4,5,1,56550,62323
2,0,0,0,7.2,2,1,34514,38675
2,0,0,0,8,8,2,56177,61652
2,0,1,0,5,2,1,50588,57431
2,0,0,1,7.7,5,1,60415,66323
2,0,1,0,6.1,11,3,91409,102511
2,0,0,1,7.8,3,1,56250,59530
2,0,1,1,5.7,16,2,127725,143348
2,0,1,0,5.4,5,1,63426,71068
2,0,0,0,8,5,1,45826,48138
3,1,0,1,6.7,24,3,154326,165884
3,1,0,0,5.9,11,2,87351,95429
3,1,1,1,4.1,5,1,123859,130292
3,1,1,0,4.8,16,3,118121,130697
3,1,1,1,4.3,11,3,174479,193342
3,1,1,1,4.3,16,3,196704,218955
3,1,1,1,4.3,16,3,186953,206984
3,1,1,0,4.2,9,2,107862,117240
3,1,1,0,3.9,5,1,105821,116932
3,1,1,1,5.6,6,1,114730,126118
3,0,1,0,3.9,9,3,142382,151698
3,0,0,0,7.3,9,1,67581,72896
3,0,0,0,6.8,6,1,67934,75659
3,0,1,0,5,10,3,118101,129862
3,0,1,1,5.2,9,2,127710,143799
3,0,0,0,6.5,5,1,70794,77113
3,0,1,0,5.7,4,1,81728,91764
3,0,0,0,7,7,1,71015,80747
3,0,0,1,7.3,11,2,117276,126139
3,0,0,0,7.2,10,2,106535,117574
3,0,0,0,8.4,5,1,68825,74209
4,1,1,1,3.1,6,1,109599,121829
4,1,0,1,5.2,17,3,154159,169191
4,1,1,1,3.3,10,2,145503,162253
4,1,1,1,3.2,15,2,161383,181196
4,1,0,1,4.8,10,3,113443,126189
4,1,1,1,2.1,5,1,118561,131704
4,1,1,1,2.9,8,2,147709,161814
4,1,1,1,3.1,7,2,121969,136415
4,1,0,0,5.2,11,2,101890,113893
4,1,1,1,4,7,1,114233,127955
4,0,1,1,4.2,4,1,77087,84890
4,0,0,1,5.5,6,1,113382,124153
4,0,1,1,2.7,4,1,102177,112844
4,0,1,1,3.1,2,2,116506,127815
4,0,1,1,3.1,5,1,130386,145073
4,0,1,1,3.6,16,3,159687,177706
4,0,1,1,3.4,2,1,107750,117214
4,0,0,1,5.3,4,1,91211,103513
4,0,1,1,3,6,2,135216,150489
4,0,1,1,3.2,10,2,164048,182049
4,0,1,1,3.8,5,1,84390,92512
4,0,1,1,3.1,14,3,170428,186726
4,0,1,1,2.6,5,1,124994,140026
4,0,0,1,5.7,13,1,90130,95908
4,0,0,1,6.3,5,1,102021,109758
4,0,1,0,4,4,2,88484,99505
4,0,1,1,3,7,1,110975,123139
4,0,0,1,5.5,3,1,81422,89202
4,0,1,1,3.1,10,1,130939,142566
4,0,1,1,3.7,1,1,111630,125268
5,1,1,1,3.7,11,1,182945,198762
5,1,1,0,3.2,13,2,163671,181774
5,1,1,1,4.3,9,2,204433,226581
5,1,1,1,3.2,4,1,135139,148117
5,1,0,1,5.6,11,3,147213,155826
5,1,1,1,4,13,2,207737,229706
5,1,1,1,3.1,18,3,244025,268210
5,1,0,1,5.2,12,3,167199,182401
5,1,1,1,4,14,3,209377,225498
5,1,1,1,3.7,10,2,209189,230270
5,1,1,1,3.2,11,2,186973,204769
5,1,1,1,3.1,10,3,209171,229301
5,1,1,1,4.5,15,3,230268,253090
5,1,1,1,4.4,8,2,186022,207634
5,1,1,1,4.2,7,1,179897,196338
5,1,1,1,3.6,12,2,236470,265121
5,1,0,0,5.7,15,3,172793,184391
5,1,1,1,3.7,13,3,285301,297397
5,1,1,1,3.6,8,3,200543,219584
5,1,1,1,4.8,6,1,152485,168170
5,1,1,1,4,5,1,154644,170967
5,1,1,1,3.1,22,3,255654,285939
5,1,1,1,3.5,2,1,138896,152284
5,1,1,1,3.1,18,3,260631,284841
5,1,1,1,3,4,1,183972,201691
5,1,1,1,3,5,1,128027,142963
5,1,1,1,4,6,1,161815,173837
5,1,0,1,5.9,6,1,149011,163795
5,1,1,1,3.3,8,2,167305,183834
5,1,1,1,2.7,5,1,153549,168707
5,1,1,1,3.4,37,3,300975,332119
5,1,1,0,2.4,3,1,124442,131361
5,1,1,1,3.8,14,2,163486,175271
5,1,1,1,3.2,7,1,155006,169118
5,1,0,0,5.1,8,3,129499,141661
5,1,1,1,3.5,14,2,216391,234992
