Age,WAR,Position,Years_Of_Contract,Salary,Race
35,3.1,C,1,High,White
36,1.6,C,1,High,White
37,-0.8,C,1,Low,White
38,1.6,C,1,Low,White
34,2.3,DH,2,High,White
30,0.2,3B,1,Low,White
31,-1.1,3B,1,Low,Non_White
31,1,CF,1,High,Non_White
28,-0.1,C,1,Low,Non_White
33,0.6,RF,1,High,Non_White
33,1,SS,1,Low,Non_White
28,0.9,SS,1,High,Non_White
29,1.7,SS,2,High,Non_White
28,1.5,CF,1,High,Non_White
31,0.4,C,2,Low,Non_White
33,0.4,C,2,High,Non_White
31,0.4,SS,2,High,White
35,0.8,2B,1,Low,White
34,0.6,1B,1,Low,Non_White
36,0.4,2B,1,High,White
33,-0.2,LF,1,Low,White
32,0.7,C,1,High,White
31,0.2,2B,2,Low,White
35,0.6,SS,1,Low,White
27,1,LF,1,High,White
28,2.6,LF,1,High,White
27,0,SS,2,Low,White
29,0.2,2B,1,Low,White
32,2.3,3B,1,Low,White
31,0.2,RF,2,High,White
37,-0.2,C,2,High,White
26,-0.9,RF,1,Low,Non_White
28,0.8,RF,1,Low,Non_White
34,0.6,CF,1,Low,Non_White
29,2.2,CF,1,High,Non_White
28,0.2,C,1,Low,Non_White
29,2,C,2,High,Non_White
31,0.7,C,1,Low,Non_White
29,1,LF,1,Low,Non_White
34,1.6,3B,1,Low,Non_White
35,0.1,3B,1,Low,Non_White
34,-1,1B,1,Low,White
30,0.4,RF,1,Low,Non_White
32,0,RF,2,High,White
29,-0.5,C,1,Low,Non_White
30,1.5,C,1,Low,Non_White
32,1,C,1,Low,Non_White
28,0.7,2B,1,Low,White
31,1.1,LF,2,High,Non_White
29,2,CF,1,High,Non_White
27,0,3B,1,Low,White
38,1.8,RF,2,High,Non_White
40,1,RF,1,Low,Non_White
27,0.1,C,1,Low,Non_White
32,0.8,3B,2,Low,White
28,-1,1B,1,Low,Non_White
32,-0.5,C,1,Low,White
32,0.1,C,1,Low,White
31,0.9,1B,2,High,White
31,1.9,LF,2,High,White
33,-0.8,LF,1,Low,White
34,2,LF,1,Low,Non_White
34,4.1,3B,2,High,Non_White
36,1.7,3B,1,Low,Non_White
32,1.9,DH,2,High,White
27,-0.6,1B,1,Low,White
31,1.2,2B,1,Low,White
33,0.3,2B,1,Low,White
32,1.4,C,1,Low,White
31,-1,DH,2,High,Non_White
32,-0.5,2B,1,Low,White
33,1.7,3B,1,High,White
34,-0.2,3B,1,Low,White
29,0.1,C,1,Low,Non_White
36,0.5,DH,1,High,White
36,3,2B,1,High,White
28,0.2,1B,1,High,White
30,0.7,1B,1,Low,White
31,-0.6,1B,1,Low,White
35,5,RF,2,High,Non_White
29,0.8,C,1,High,White
27,4.7,LF,2,High,Non_White
35,1.2,LF,2,High,White
34,-1.3,RF,1,Low,Non_White
31,4,1B,2,High,White
33,1.1,1B,1,High,White
31,1.8,LF,2,High,White
28,0.8,RF,1,Low,White
30,0.1,C,2,High,White
35,2.1,2B,1,Low,White
31,0.2,CF,1,Low,Non_White
37,-1.4,DH,1,Low,White
28,0.1,DH,1,High,Non_White
36,0.4,3B,1,Low,Non_White
32,1.8,CF,2,High,Non_White
34,1.6,CF,1,High,Non_White
40,0.5,RF,1,Low,Non_White
41,0.4,RF,1,Low,Non_White
35,0.3,LF,1,Low,White
31,0.2,LF,1,Low,Non_White
29,1.7,C,2,High,White
30,-0.1,1B,1,Low,Non_White
33,-1.4,2B,2,High,White
31,-0.3,2B,1,High,White
32,0.4,2B,1,Low,White
32,-0.4,1B,1,High,White
36,5.7,RF,2,High,Non_White
38,0.5,RF,1,High,Non_White
34,-1.5,3B,2,High,White
35,-0.3,C,1,Low,Non_White
35,0.4,SS,2,High,White
