age,c_charge_degree,race,sex,priors_count,decile_score
69,F,Other,Male,0,Low
34,F,African-American,Male,0,Low
24,F,African-American,Male,4,Low
44,M,Other,Male,0,Low
41,F,Caucasian,Male,14,High
43,F,Other,Male,3,Low
39,M,Caucasian,Female,0,Low
27,F,Caucasian,Male,0,Low
23,M,African-American,Male,3,High
37,M,Caucasian,Female,0,Low
41,F,African-American,Male,0,Low
47,F,Caucasian,Female,1,Low
31,F,African-American,Male,7,Low
37,M,Hispanic,Male,0,Low
25,F,African-American,Male,3,High
31,F,Caucasian,Male,6,Low
31,F,Caucasian,Male,5,Low
64,F,African-American,Male,13,High
21,F,African-American,Male,1,High
27,M,Caucasian,Male,0,Low
21,F,Caucasian,Female,0,Low
24,F,Hispanic,Male,1,Low
43,M,Caucasian,Male,1,Low
32,M,Other,Male,0,Low
27,F,African-American,Male,8,Low
26,F,African-American,Male,5,High
33,F,African-American,Male,0,High
30,F,Caucasian,Male,9,High
32,F,African-American,Male,4,High
55,F,Caucasian,Male,0,Low
49,F,Other,Male,7,Low
33,M,Caucasian,Female,4,Low
24,M,Caucasian,Male,1,Low
34,F,African-American,Male,21,High
29,M,Caucasian,Male,0,Low
21,F,African-American,Female,2,High
51,M,African-American,Male,2,Low
29,M,Caucasian,Male,2,Low
51,F,African-American,Female,7,Low
29,F,African-American,Male,0,High
25,M,Caucasian,Male,9,High
35,F,African-American,Male,13,High
49,M,Caucasian,Male,0,Low
29,F,African-American,Male,0,Low
29,F,Caucasian,Male,1,Low
28,F,Other,Female,0,Low
31,F,African-American,Male,15,Low
24,F,African-American,Male,2,Low
30,M,Hispanic,Male,0,High
49,M,African-American,Male,4,Low
53,F,Caucasian,Male,8,Low
35,F,African-American,Male,5,Low
27,F,African-American,Male,15,High
38,M,Caucasian,Male,4,Low
22,F,African-American,Male,1,Low
29,F,African-American,Male,4,High
62,M,Hispanic,Male,0,Low
27,F,African-American,Male,6,High
33,M,Other,Male,0,Low
56,M,African-American,Female,0,Low
45,F,Hispanic,Male,6,Low
22,F,Hispanic,Male,1,Low
39,M,African-American,Male,1,Low
29,F,African-American,Male,5,High
27,F,Caucasian,Male,1,High
40,F,African-American,Male,2,Low
22,M,African-American,Male,1,Low
22,F,Caucasian,Male,0,High
26,F,African-American,Female,1,Low
32,F,African-American,Male,0,Low
41,M,African-American,Male,1,Low
30,M,African-American,Male,8,High
50,F,Other,Male,0,Low
25,F,African-American,Male,14,High
20,F,Other,Male,0,Low
22,F,African-American,Male,2,High
35,M,African-American,Female,1,Low
36,F,African-American,Male,9,High
26,F,Caucasian,Male,7,High
21,F,Other,Male,1,High
25,F,Caucasian,Male,9,High
20,F,Caucasian,Female,0,High
39,F,Caucasian,Male,2,Low
54,M,Caucasian,Female,0,Low
44,M,Hispanic,Female,0,Low
19,M,African-American,Male,1,Low
30,F,African-American,Male,1,Low
39,F,Caucasian,Female,0,Low
24,F,Caucasian,Male,8,High
30,F,Caucasian,Male,0,Low
31,M,Caucasian,Male,0,Low
39,F,Caucasian,Female,1,Low
43,F,Caucasian,Male,1,Low
21,F,African-American,Male,3,High
38,M,Caucasian,Male,5,Low
34,F,Caucasian,Male,0,Low
33,F,African-American,Male,5,Low
37,F,African-American,Male,3,Low
42,F,Caucasian,Male,1,Low
41,F,African-American,Male,10,High
22,F,African-American,Male,0,Low
33,F,African-American,Male,28,High
31,M,African-American,Male,1,High
30,F,Other,Female,1,Low
31,F,Caucasian,Male,13,High
27,F,African-American,Male,3,High
52,M,Caucasian,Male,3,High
33,F,African-American,Male,19,High
42,F,Caucasian,Male,6,Low
25,F,Caucasian,Female,2,Low
30,M,Caucasian,Male,1,Low
37,M,Other,Female,2,Low
28,M,Caucasian,Male,0,Low
24,M,African-American,Female,0,Low
29,F,Caucasian,Female,10,Low
44,M,Caucasian,Male,2,Low
32,F,African-American,Male,3,High
31,M,Caucasian,Male,2,Low
31,M,African-American,Male,1,Low
59,F,Caucasian,Male,1,Low
20,F,African-American,Female,1,High
43,M,Caucasian,Female,0,Low
38,F,African-American,Male,9,High
32,F,African-American,Male,11,High
33,M,African-American,Male,8,Low
31,F,African-American,Female,0,Low
33,F,African-American,Female,7,High
27,F,African-American,Male,2,High
20,F,African-American,Female,0,High
26,M,Caucasian,Female,0,High
61,F,African-American,Female,1,Low
52,F,Other,Male,13,High
63,F,Hispanic,Male,1,Low
32,F,African-American,Female,4,High
29,F,Hispanic,Male,1,Low
26,M,African-American,Female,2,Low
39,M,Caucasian,Male,1,Low
30,F,Caucasian,Female,3,High
30,F,African-American,Male,1,High
48,M,Caucasian,Male,2,Low
22,F,African-American,Male,1,Low
46,F,Caucasian,Male,6,Low
31,F,Caucasian,Male,0,Low
25,M,African-American,Male,1,Low
23,F,Hispanic,Male,0,Low
32,F,African-American,Female,5,High
52,M,Hispanic,Male,2,Low
62,F,African-American,Male,8,Low
31,F,Hispanic,Male,8,High
28,M,African-American,Male,6,High
54,F,Hispanic,Male,2,Low
58,F,Hispanic,Male,0,Low
78,M,Caucasian,Male,1,Low
56,F,Caucasian,Male,0,Low
24,F,Other,Male,0,Low
22,F,African-American,Male,1,Low
47,M,African-American,Male,23,High
23,M,African-American,Male,0,Low
57,F,Hispanic,Male,1,Low
66,F,African-American,Male,3,Low
45,M,Caucasian,Male,8,Low
37,M,African-American,Male,2,High
39,F,Caucasian,Male,0,Low
26,F,African-American,Male,9,High
45,F,Caucasian,Male,2,Low
23,F,African-American,Male,0,Low
34,M,African-American,Male,2,Low
23,M,African-American,Female,1,Low
36,M,Other,Male,2,Low
50,F,Caucasian,Male,1,Low
37,M,Caucasian,Female,0,Low
44,M,Caucasian,Male,4,Low
35,F,African-American,Female,23,High
24,F,Other,Male,5,Low
26,F,African-American,Male,2,High
27,M,African-American,Male,0,Low
28,F,African-American,Female,0,High
28,F,Caucasian,Female,7,High
38,F,African-American,Male,2,Low
28,F,African-American,Female,1,High
56,F,Caucasian,Male,7,Low
38,F,African-American,Male,15,High
28,M,African-American,Male,2,Low
51,M,Caucasian,Female,0,Low
51,M,Caucasian,Male,0,Low
36,M,Other,Male,1,Low
48,F,African-American,Male,0,Low
37,F,Caucasian,Male,4,Low
30,F,African-American,Female,2,High
41,M,African-American,Female,5,High
27,F,African-American,Male,11,High
37,M,African-American,Male,0,Low
33,F,Other,Male,4,Low
54,F,African-American,Male,11,High
23,F,African-American,Male,2,High
41,M,African-American,Male,0,Low
52,F,Caucasian,Male,0,Low
43,F,Caucasian,Male,13,Low
52,F,African-American,Male,0,Low
28,F,Caucasian,Male,1,Low
30,M,African-American,Male,11,High
28,F,Caucasian,Male,1,Low
22,F,African-American,Male,0,Low
30,F,African-American,Male,4,Low
25,F,Hispanic,Male,4,Low
31,F,Caucasian,Male,0,High
37,F,Caucasian,Male,0,Low
32,F,African-American,Male,14,High
53,M,Caucasian,Male,1,Low
28,F,African-American,Male,25,High
44,M,Caucasian,Male,8,Low
