Age,Gender,Expenditures,Ethnicity
17,Female,Low,White not Hispanic
37,Male,High,White not Hispanic
3,Male,Low,Hispanic
19,Female,Low,Hispanic
13,Male,Low,White not Hispanic
15,Female,Low,Hispanic
13,Female,Low,White not Hispanic
17,Male,Low,Black
14,Female,Low,White not Hispanic
13,Male,Low,Hispanic
13,Female,Low,White not Hispanic
14,Male,Low,Hispanic
15,Female,Low,White not Hispanic
17,Male,Low,Multi Race
20,Male,High,Hispanic
25,Female,High,Black
23,Female,High,White not Hispanic
41,Male,High,Asian
5,Female,Low,Hispanic
15,Female,Low,Hispanic
5,Male,Low,Hispanic
5,Male,Low,Hispanic
22,Female,High,Hispanic
3,Male,Low,Hispanic
16,Female,Low,Black
71,Female,High,White not Hispanic
13,Female,Low,White not Hispanic
18,Female,High,Asian
63,Female,High,White not Hispanic
1,Male,Low,White not Hispanic
13,Male,Low,Multi Race
27,Female,High,White not Hispanic
21,Male,High,White not Hispanic
14,Male,Low,White not Hispanic
15,Female,Low,Asian
3,Female,Low,White not Hispanic
15,Female,Low,Asian
14,Male,Low,Black
30,Female,High,White not Hispanic
6,Female,Low,Hispanic
33,Male,High,White not Hispanic
10,Female,Low,Black
25,Female,High,White not Hispanic
3,Male,Low,Hispanic
26,Male,High,Asian
17,Male,Low,White not Hispanic
33,Male,High,White not Hispanic
16,Male,Low,Hispanic
24,Male,High,White not Hispanic
63,Female,High,White not Hispanic
1,Female,Low,White not Hispanic
24,Female,High,Black
75,Female,High,White not Hispanic
27,Male,High,White not Hispanic
8,Female,Low,Hispanic
24,Male,High,White not Hispanic
10,Female,Low,Hispanic
16,Male,Low,Hispanic
13,Male,Low,Hispanic
51,Female,High,White not Hispanic
6,Female,Low,Asian
16,Female,Low,Hispanic
15,Female,Low,White not Hispanic
22,Male,High,White not Hispanic
20,Male,High,Hispanic
45,Male,High,Hispanic
5,Female,Low,Hispanic
24,Female,High,White not Hispanic
32,Male,High,Hispanic
13,Female,Low,Hispanic
74,Female,High,Asian
26,Female,High,Asian
19,Male,High,Hispanic
18,Male,High,White not Hispanic
6,Female,Low,Hispanic
17,Female,Low,Hispanic
29,Male,High,White not Hispanic
17,Male,Low,White not Hispanic
13,Female,Low,White not Hispanic
48,Female,High,White not Hispanic
34,Female,High,Hispanic
9,Female,Low,Asian
18,Male,High,Hispanic
16,Male,Low,White not Hispanic
0,Male,Low,Multi Race
15,Female,Low,Hispanic
16,Male,Low,Hispanic
18,Female,High,Black
28,Male,High,Black
28,Female,High,White not Hispanic
22,Male,High,White not Hispanic
27,Female,High,White not Hispanic
66,Female,High,Asian
3,Male,Low,White not Hispanic
22,Male,High,White not Hispanic
1,Male,Low,Hispanic
13,Female,Low,Black
22,Male,High,Black
15,Female,Low,White not Hispanic
94,Female,High,Hispanic
41,Female,High,White not Hispanic
5,Male,Low,Hispanic
6,Female,Low,Asian
60,Female,High,White not Hispanic
23,Female,High,White not Hispanic
36,Male,High,White not Hispanic
21,Female,High,White not Hispanic
23,Female,High,Hispanic
80,Female,High,White not Hispanic
6,Female,Low,White not Hispanic
25,Female,High,White not Hispanic
0,Male,Low,White not Hispanic
65,Female,High,White not Hispanic
4,Female,Low,Hispanic
12,Female,Low,Hispanic
19,Male,High,White not Hispanic
20,Male,High,Hispanic
12,Female,Low,Hispanic
33,Male,High,White not Hispanic
15,Male,Low,Hispanic
24,Female,High,Hispanic
4,Male,Low,Hispanic
18,Male,Low,Black
5,Male,Low,White not Hispanic
24,Female,High,Hispanic
18,Female,High,Hispanic
21,Male,Low,Asian
18,Female,High,White not Hispanic
19,Female,High,Hispanic
24,Male,High,White not Hispanic
11,Female,Low,Hispanic
66,Female,High,Hispanic
20,Female,High,Asian
19,Male,High,Hispanic
14,Female,Low,Hispanic
5,Male,Low,Hispanic
17,Male,Low,Hispanic
34,Female,High,Hispanic
27,Female,High,White not Hispanic
37,Female,High,White not Hispanic
13,Male,Low,Hispanic
4,Male,Low,Hispanic
5,Male,Low,Hispanic
4,Male,Low,Hispanic
4,Male,Low,Hispanic
16,Male,Low,Multi Race
22,Male,High,White not Hispanic
16,Female,Low,Asian
0,Male,Low,Hispanic
4,Male,Low,White not Hispanic
20,Male,High,Black
19,Female,High,Hispanic
3,Male,Low,Hispanic
77,Female,High,Asian
4,Male,Low,White not Hispanic
17,Female,Low,Hispanic
18,Male,High,White not Hispanic
16,Male,Low,Hispanic
21,Female,High,Hispanic
35,Male,High,White not Hispanic
18,Female,High,White not Hispanic
9,Female,Low,Hispanic
15,Male,Low,Hispanic
4,Male,Low,White not Hispanic
14,Male,Low,Hispanic
0,Female,Low,Hispanic
0,Female,Low,White not Hispanic
15,Male,Low,White not Hispanic
2,Male,Low,White not Hispanic
21,Female,High,White not Hispanic
21,Female,High,Hispanic
27,Female,High,White not Hispanic
82,Female,High,White not Hispanic
21,Male,High,Hispanic
21,Male,High,White not Hispanic
28,Female,High,White not Hispanic
6,Female,Low,Hispanic
40,Male,High,White not Hispanic
19,Female,High,Hispanic
16,Female,Low,Hispanic
23,Male,High,White not Hispanic
0,Male,Low,Hispanic
42,Male,High,White not Hispanic
11,Female,Low,White not Hispanic
74,Female,High,White not Hispanic
4,Male,Low,Hispanic
6,Female,Low,Hispanic
20,Male,High,Asian
33,Female,High,White not Hispanic
17,Male,Low,Hispanic
13,Male,Low,Hispanic
0,Male,Low,Multi Race
16,Female,Low,Hispanic
21,Female,High,Asian
18,Male,High,Asian
4,Male,Low,Hispanic
12,Female,Low,Hispanic
17,Male,Low,White not Hispanic
25,Female,High,White not Hispanic
11,Male,Low,Hispanic
7,Female,Low,Hispanic
12,Female,Low,White not Hispanic
11,Male,Low,White not Hispanic
22,Female,High,Hispanic
1,Male,Low,Hispanic
62,Female,High,White not Hispanic
20,Male,High,Hispanic
5,Female,Low,Hispanic
9,Female,Low,White not Hispanic
4,Male,Low,Hispanic
33,Female,High,Hispanic
4,Male,Low,Hispanic
19,Male,High,Hispanic
15,Female,Low,Hispanic
20,Male,High,White not Hispanic
1,Male,Low,Hispanic
21,Male,High,Hispanic
24,Male,High,White not Hispanic
8,Female,Low,Hispanic
8,Male,Low,White not Hispanic
30,Male,High,White not Hispanic
17,Male,Low,Hispanic
56,Female,High,White not Hispanic
16,Male,Low,White not Hispanic
20,Male,High,White not Hispanic
14,Male,Low,Asian
7,Female,Low,Hispanic
16,Male,Low,Hispanic
19,Female,High,Asian
5,Male,Low,Asian
14,Male,Low,Hispanic
78,Female,High,American Indian
9,Male,Low,White not Hispanic
19,Female,High,Hispanic
20,Male,High,Hispanic
7,Male,Low,Asian
4,Female,Low,White not Hispanic
10,Female,Low,White not Hispanic
3,Male,Low,Hispanic
20,Female,Low,Hispanic
17,Male,Low,Hispanic
21,Male,High,Hispanic
71,Female,High,White not Hispanic
11,Female,Low,Multi Race
2,Male,Low,Hispanic
88,Female,High,White not Hispanic
70,Female,High,Hispanic
23,Male,High,Asian
11,Female,Low,White not Hispanic
60,Female,High,Black
10,Male,Low,White not Hispanic
17,Female,Low,Hispanic
10,Male,Low,White not Hispanic
25,Male,High,White not Hispanic
