Attribute,Order
Age,1
Attrition,5
BusinessTravel,3
DailyRate,3
Department,3
DistanceFromHome,3
Education,2
EducationField,2
EmployeeCount,3
EmployeeNumber,3
EnvironmentSatisfaction,4
Gender,1
HourlyRate,3
JobInvolvement,3
JobLevel,3
JobRole,3
JobSatisfaction,4
MaritalStatus,3
MonthlyIncome,3
MonthlyRate,3
NumCompaniesWorked,3
OverTime,3
PercentSalaryHike,3
PerformanceRating,4
RelationshipSatisfaction,4
StandardHours,3
StockOptionLevel,3
TotalWorkingYears,3
TrainingTimesLastYear,3
WorkLifeBalance,4
YearsAtCompany,3
YearsInCurrentRole,3
YearsSinceLastPromotion,3
YearsWithCurrManager,3
