age,c_charge_degree,race,sex,priors_count,decile_score
69,F,Other,Male,0,1
34,F,African-American,Male,0,3
24,F,African-American,Male,4,4
44,M,Other,Male,0,1
41,F,Caucasian,Male,14,6
43,F,Other,Male,3,4
39,M,Caucasian,Female,0,1
27,F,Caucasian,Male,0,4
23,M,African-American,Male,3,6
37,M,Caucasian,Female,0,1
41,F,African-American,Male,0,4
47,F,Caucasian,Female,1,1
31,F,African-American,Male,7,3
37,M,Hispanic,Male,0,1
25,F,African-American,Male,3,10
31,F,Caucasian,Male,6,5
31,F,Caucasian,Male,5,3
64,F,African-American,Male,13,6
21,F,African-American,Male,1,9
27,M,Caucasian,Male,0,2
21,F,Caucasian,Female,0,4
24,F,Hispanic,Male,1,4
43,M,Caucasian,Male,1,1
32,M,Other,Male,0,3
27,F,African-American,Male,8,3
26,F,African-American,Male,5,7
33,F,African-American,Male,0,10
30,F,Caucasian,Male,9,9
32,F,African-American,Male,4,8
55,F,Caucasian,Male,0,1
49,F,Other,Male,7,3
33,M,Caucasian,Female,4,5
24,M,Caucasian,Male,1,2
34,F,African-American,Male,21,9
29,M,Caucasian,Male,0,2
21,F,African-American,Female,2,8
51,M,African-American,Male,2,1
29,M,Caucasian,Male,2,2
51,F,African-American,Female,7,2
29,F,African-American,Male,0,7
25,M,Caucasian,Male,9,10
35,F,African-American,Male,13,8
49,M,Caucasian,Male,0,1
29,F,African-American,Male,0,4
29,F,Caucasian,Male,1,2
28,F,Other,Female,0,2
31,F,African-American,Male,15,5
24,F,African-American,Male,2,4
30,M,Hispanic,Male,0,7
49,M,African-American,Male,4,1
53,F,Caucasian,Male,8,5
35,F,African-American,Male,5,3
27,F,African-American,Male,15,10
38,M,Caucasian,Male,4,2
22,F,African-American,Male,1,4
29,F,African-American,Male,4,9
62,M,Hispanic,Male,0,1
27,F,African-American,Male,6,6
33,M,Other,Male,0,1
56,M,African-American,Female,0,1
45,F,Hispanic,Male,6,1
22,F,Hispanic,Male,1,4
39,M,African-American,Male,1,4
29,F,African-American,Male,5,6
27,F,Caucasian,Male,1,6
40,F,African-American,Male,2,2
22,M,African-American,Male,1,3
22,F,Caucasian,Male,0,8
26,F,African-American,Female,1,4
32,F,African-American,Male,0,2
41,M,African-American,Male,1,2
30,M,African-American,Male,8,10
50,F,Other,Male,0,1
25,F,African-American,Male,14,10
20,F,Other,Male,0,5
22,F,African-American,Male,2,9
35,M,African-American,Female,1,2
36,F,African-American,Male,9,7
26,F,Caucasian,Male,7,8
21,F,Other,Male,1,6
25,F,Caucasian,Male,9,8
20,F,Caucasian,Female,0,7
39,F,Caucasian,Male,2,1
54,M,Caucasian,Female,0,1
44,M,Hispanic,Female,0,1
19,M,African-American,Male,1,4
30,F,African-American,Male,1,2
39,F,Caucasian,Female,0,1
24,F,Caucasian,Male,8,6
30,F,Caucasian,Male,0,4
31,M,Caucasian,Male,0,5
39,F,Caucasian,Female,1,4
43,F,Caucasian,Male,1,1
21,F,African-American,Male,3,9
38,M,Caucasian,Male,5,4
34,F,Caucasian,Male,0,5
33,F,African-American,Male,5,5
37,F,African-American,Male,3,2
42,F,Caucasian,Male,1,2
41,F,African-American,Male,10,9
22,F,African-American,Male,0,4
33,F,African-American,Male,28,8
31,M,African-American,Male,1,7
30,F,Other,Female,1,2
31,F,Caucasian,Male,13,10
27,F,African-American,Male,3,9
52,M,Caucasian,Male,3,9
33,F,African-American,Male,19,10
42,F,Caucasian,Male,6,3
25,F,Caucasian,Female,2,4
30,M,Caucasian,Male,1,2
37,M,Other,Female,2,2
28,M,Caucasian,Male,0,2
24,M,African-American,Female,0,2
29,F,Caucasian,Female,10,4
44,M,Caucasian,Male,2,2
32,F,African-American,Male,3,7
31,M,Caucasian,Male,2,3
31,M,African-American,Male,1,2
59,F,Caucasian,Male,1,2
20,F,African-American,Female,1,10
43,M,Caucasian,Female,0,1
38,F,African-American,Male,9,8
32,F,African-American,Male,11,6
33,M,African-American,Male,8,5
31,F,African-American,Female,0,3
33,F,African-American,Female,7,9
27,F,African-American,Male,2,9
20,F,African-American,Female,0,6
26,M,Caucasian,Female,0,6
61,F,African-American,Female,1,1
52,F,Other,Male,13,7
63,F,Hispanic,Male,1,1
32,F,African-American,Female,4,10
29,F,Hispanic,Male,1,4
26,M,African-American,Female,2,4
39,M,Caucasian,Male,1,4
30,F,Caucasian,Female,3,7
30,F,African-American,Male,1,7
48,M,Caucasian,Male,2,2
22,F,African-American,Male,1,2
46,F,Caucasian,Male,6,1
31,F,Caucasian,Male,0,5
25,M,African-American,Male,1,2
23,F,Hispanic,Male,0,3
32,F,African-American,Female,5,7
52,M,Hispanic,Male,2,1
62,F,African-American,Male,8,4
31,F,Hispanic,Male,8,9
28,M,African-American,Male,6,6
54,F,Hispanic,Male,2,1
58,F,Hispanic,Male,0,2
78,M,Caucasian,Male,1,1
56,F,Caucasian,Male,0,1
24,F,Other,Male,0,2
22,F,African-American,Male,1,5
