Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
sex_Female,0.012,3.58,0.35,2.53,marital_status_Never_married: 46.96% of times,0.638,Too many inconclusive outputs
sex_Male,0.377,3.05,0.0,0.0,occupation_Exec_managerial: 59.15% of times,0.623,Too many inconclusive outputs
workclass_Private,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Local_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Self_emp_inc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Self_emp_not_inc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Federal_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_State_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Without_pay,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Never_worked,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Some_college,0.004,4.25,0.425,3.24,marital_status_Never_married: 74.83% of times,0.571,Too many inconclusive outputs
education_Bachelors,0.527,1.36,0.0,0.0,None,0.473,Apparent Favoritism
education_HS_grad,0.0,0.0,0.394,1.21,None,0.606,Too many inconclusive outputs
education_9th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_10th,0.0,0.0,0.538,2.0,occupation_Other_service: 100% of times,0.462,Apparent Negative Discrimination
education_Prof_school,0.362,1.0,0.0,0.0,None,0.638,Too many inconclusive outputs
education_Assoc_voc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Masters,0.469,1.3,0.0,0.0,None,0.531,Apparent Favoritism
education_12th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_7th_8th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Assoc_acdm,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_11th,0.004,4.5,0.749,2.77,marital_status_Never_married: 53.12% of times,0.247,Explainable/Conditional discrimination because of marital_status_Never_married
education_5th_6th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Doctorate,0.404,1.0,0.0,0.0,None,0.596,Too many inconclusive outputs
education_1st_4th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Preschool,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Never_married,0.002,2.0,0.992,1.21,None,0.006,Negative Discrimination
marital_status_Separated,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Married_civ_spouse,0.528,1.98,0.0,0.0,None,0.472,Apparent Favoritism
marital_status_Divorced,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Married_spouse_absent,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Widowed,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Married_AF_spouse,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Sales,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Other_service,0.0,0.0,1.0,1.0,None,0.0,Negative Discrimination
occupation_Prof_specialty,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Handlers_cleaners,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Adm_clerical,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Exec_managerial,0.778,1.0,0.0,0.0,None,0.222,Favoritism
occupation_Transport_moving,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Craft_repair,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Tech_support,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Machine_op_inspct,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Priv_house_serv,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Protective_serv,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Farming_fishing,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Armed_Forces,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
