Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
prior_number_Low,1.0,1.0,0.0,0.0,None,0.0,Favoritism
prior_number_Medium,0.1,1.0,0.0,0.0,None,0.9,Too many inconclusive outputs
prior_number_High,0.0,0.0,0.7,1.0,None,0.3,Negative Discrimination
c_charge_degree_F,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
c_charge_degree_M,1.0,2.0,0.0,0.0,prior_number_Low: 100% of times,0.0,Explainable/Conditional favoritism because of prior_number_Low
race_African_American,0.1,3.0,0.8,1.62,None,0.1,Negative Discrimination
race_Caucasian,0.9,2.11,0.0,0.0,prior_number_Low: 55.56% of times,0.1,Explainable/Conditional favoritism because of prior_number_Low
Age_25_45,0.0,0.0,0.8,1.88,prior_number_High: 87.50% of times,0.2,Explainable/Conditional discrimination because of prior_number_High
age_Greater_45,1.0,1.6,0.0,0.0,None,0.0,Favoritism
age_Less_25,0.3,2.0,0.1,1.0,prior_number_Low: 75.00% of times,0.6,Too many inconclusive outputs
sex_Female,1.0,2.0,0.0,0.0,prior_number_Low: 100% of times,0.0,Explainable/Conditional favoritism because of prior_number_Low
sex_Male,0.0,0.0,0.8,2.0,prior_number_High: 100% of times,0.2,Explainable/Conditional discrimination because of prior_number_High
