Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
PublicationRate_Low,0.82,2.0,0.0,0.0,Dept_Surgery: 71.95% of times,0.18,Explainable/Conditional favoritism because of Dept_Surgery
PublicationRate_Medium,0.74,2.0,0.0,0.0,Dept_Medicine: 66.22% of times,0.26,Explainable/Conditional favoritism because of Dept_Medicine
PublicationRate_High,0.0,0.0,0.77,1.36,None,0.23,Negative Discrimination
PublicationRate_Very_High,0.0,0.0,0.47,2.0,Research_emphasis: 72.34% of times,0.53,Apparent Negative Discrimination
years_since_MD_Low,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
years_since_MD_Medium,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
years_since_MD_High,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
years_since_MD_Very_High,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Biochemistry,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Physiology,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Genetics,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Pediatrics,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Medicine,1.0,1.0,0.0,0.0,None,0.0,Favoritism
Dept_Surgery,1.0,1.0,0.0,0.0,None,0.0,Favoritism
Gender_Female,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Gender_Male,0.35,3.0,0.0,0.0,Dept_Surgery: 62.86% of times,0.65,Too many inconclusive outputs
Research_emphasis,0.0,0.0,1.0,1.0,None,0.0,Negative Discrimination
Clinical_emphasis,0.64,1.0,0.0,0.0,None,0.36,Favoritism
Board_certified_no,0.0,0.0,0.76,1.0,None,0.24,Negative Discrimination
Board_certified_yes,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Rank_Assistant,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Rank_Associate,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Rank_FullProfessor,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
